Kilometre,Marka,Model,Model Yılı,Motor Hacmi,Plaka,Renk,Ruhsat Cins ,Ruhsat Tip,Varyant,Vites Tipi,Yakıt Türü,Yetki Belge No,Çekiş Tipi,url,price
148.09,FORD,FOCUS,2017.0,"1,5",34KH0831,Buz Beyazı+Siyah Kumaş, ,,1.5L TDCI 120PS TREND X POWERSHIFT,Yarı Otomatik,Dizel,600340.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15l-tdci-120ps-trend-x-powershift-2173726,743.000 TL
189.59,FORD,FOCUS,2017.0,"1,5",34KH0957,Buz Beyazı+Siyah Kumaş, ,,1.5L TDCI 120PS TREND X POWERSHIFT,Yarı Otomatik,Dizel,600340.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15l-tdci-120ps-trend-x-powershift-2173724,697.000 TL
79.979,RENAULT,MEGANE,2020.0,"1,5",34DFK412,Beyaz, ,,SEDAN TOUCH 1.5 BLUE DCI EDC 115 bg,Yarı Otomatik,Dizel,3500143.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/dizel/sedan-touch-15-blue-dci-edc-115-bg-2256683,876.000 TL
62.833,RENAULT,CLIO,2022.0,1,34FDY349,Beyaz, ,,JOY 1.0 TCE X-TRONIC 90 BG,Otomatik,Benzin,3400163.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/clio/benzin/joy-10-tce-x-tronic-90-bg-2302777,736.500 TL
49.585,FIAT,EGEA,2022.0,"1,2",34FME652,Beyaz,(OTOMOBİL(AA SEDAN) ,356,1.3 MJET 95 HP EU6D EASY,Manuel,Dizel,1600270.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-95-hp-eu6d-easy-1316891,640.500 TL
183.085,NISSAN,QASHQAI,2020.0,"1,3",34DIF600,Mavi, OTOMOBİL (AF ÇOK AMAÇLI)MPV ,J11 ,1.3 DIG-T 160 HP DCT SKYPACK,Yarı Otomatik,Benzin,5500075.0,Önden,https://www.otokocikinciel.com/ikinci-el-nissan/qashqai/benzin/13-dig-t-160-hp-dct-skypack-1258329,1.004.000 TL
61.481,FIAT,EGEA,2022.0,"1,2",34FGU006,BULUT BEYAZI,(OTOMOBİL(AA SEDAN) ,356,1.3 MJET 95 HP EU6D EASY,Manuel,Dizel,1600270.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-95-hp-eu6d-easy-1309883,702.500 TL
105.517,FIAT,EGEA,2019.0,"1,2",34CGN281,Beyaz,(OTOMOBİL(AA SEDAN ,356,1.3 MJET 95 HP EU6 URBAN PLUS,Manuel,Dizel,600340.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-95-hp-eu6-urban-plus-2235330,666.000 TL
202.501,FORD,FOCUS,2017.0,"1,5",34KH1250,Buz Beyazı+Siyah Kumaş, ,,1.5L TDCI 120PS TREND X POWERSHIFT,Yarı Otomatik,Dizel,600340.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15l-tdci-120ps-trend-x-powershift-2173723,723.500 TL
53.8,VOLKSWAGEN,T-ROC,2022.0,"1,5",34FEU028,Gri, ,,1.5 TSI 150PS SYTLE DSG,Yarı Otomatik,Benzin,3400152.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/t-roc/benzin/15-tsi-150ps-sytle-dsg-2305276,1.282.000 TL
75.187,FIAT,EGEA,2022.0,"1,2",34FVC089,Beyaz,OTOMOBİL (AA SEDAN) ,356,1.3 MJET II DS 95 HP EASY,Manuel,Dizel,1600091.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-ii-ds-95-hp-easy-2329890,699.000 TL
42.775,RENAULT,MEGANE,2022.0,"1,3",34GEM756,Beyaz,(OTOMOBİL(AA SEDAN) ,RFB,SEDAN JOY 1.3 TCE 140 bg EDC,Yarı Otomatik,Benzin,600236.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/benzin/sedan-joy-13-tce-140-bg-edc-1343723,899.000 TL
46.443,RENAULT,MEGANE,2022.0,"1,3",34FMJ834,Beyaz,(OTOMOBİL(AA SEDAN) ,RFB,SEDAN JOY 1.3 TCE 140 bg EDC,Yarı Otomatik,Benzin,3400163.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/benzin/sedan-joy-13-tce-140-bg-edc-2318553,878.000 TL
84.377,RENAULT,MEGANE,2020.0,"1,5",34DJF398,Beyaz,(OTOMOBİL(AA SEDAN) ,RFB,SEDAN TOUCH 1.5 BLUE DCI EDC 115 bg,Yarı Otomatik,Dizel,600236.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/dizel/sedan-touch-15-blue-dci-edc-115-bg-1258929,802.000 TL
35.674,AUDI,Q3,2022.0,"1,5",34FID148,Siyah, ,,35 TFSI 150HP STR ADVANCED,Yarı Otomatik,Benzin,3400132.0,Önden,https://www.otokocikinciel.com/ikinci-el-audi/q3/benzin/35-tfsi-150hp-str-advanced-1311259,2.018.000 TL
100.267,RENAULT,MEGANE,2020.0,"1,5",34DJF405,Beyaz,(OTOMOBİL(AA SEDAN) ,RFB,SEDAN TOUCH 1.5 BLUE DCI EDC 115 bg,Yarı Otomatik,Dizel,1600270.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/dizel/sedan-touch-15-blue-dci-edc-115-bg-1258795,829.000 TL
132.188,FORD,FOCUS,2020.0,"1,5",34DMD350,BUZ BEYAZI, ,,1.5L TDCI 120PS TREND X AUTO,Otomatik,Dizel,100025.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15l-tdci-120ps-trend-x-auto-2261113,877.000 TL
